Secteur	Catégorie	Activité
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de vêtements et accessoires (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de Bricolage / outillage sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires beauté et bien-être sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de café sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de peinture sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de jeux pour enfants sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de puériculture sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires pour animaux sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de maroquinerie sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de jardinerie sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de cosmétiques sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de bijouterie sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires vestimentaires sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires sportifs sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de vélos et vélos à assistance électriques (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires automobiles sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires industriels sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente d'accessoires culinaires sans fabrication (commerce de gros)
Artisan / Commerçant / e-Commerçant	Commerce de gros	Vente de literie sans fabrication (commerce de gros)
